match_id,season,date,team1,team2,winner,margin,venue,city
1324653,2022/23,2023/01/05,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,7 wickets,Adelaide Oval,Adelaide
1324654,2022/23,2023/01/06,Melbourne Stars,Sydney Sixers,Sydney Sixers,6 wickets,Melbourne Cricket Ground,Melbourne
1324655,2022/23,2023/01/07,Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,6 wickets,"Docklands Stadium, Melbourne",Melbourne
1324656,2022/23,2023/01/07,Brisbane Heat,Perth Scorchers,Perth Scorchers,7 wickets,Perth Stadium,Perth
1324657,2022/23,2023/01/08,Sydney Thunder,Sydney Sixers,Sydney Sixers,7 wickets,Sydney Showground Stadium,Sydney
1324658,2022/23,2023/01/09,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,2 wickets,"Bellerive Oval, Hobart",Hobart
1324659,2022/23,2023/01/10,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,20 runs,Adelaide Oval,Adelaide
1324660,2022/23,2023/01/11,Brisbane Heat,Perth Scorchers,Perth Scorchers,8 wickets,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane
1324661,2022/23,2023/01/12,Adelaide Strikers,Melbourne Stars,Melbourne Stars,9 wickets,Melbourne Cricket Ground,Melbourne
1324662,2022/23,2023/01/13,Sydney Thunder,Perth Scorchers,Perth Scorchers,9 wickets,Sydney Showground Stadium,Sydney
1324663,2022/23,2023/01/14,Brisbane Heat,Adelaide Strikers,Brisbane Heat,17 runs,Adelaide Oval,Adelaide
1324664,2022/23,2023/01/14,Melbourne Renegades,Melbourne Stars,Melbourne Renegades,6 runs,"Docklands Stadium, Melbourne",Melbourne
1324665,2022/23,2023/01/15,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,5 wickets,"Bellerive Oval, Hobart",Hobart
1324666,2022/23,2023/01/15,Sydney Sixers,Perth Scorchers,Sydney Sixers,6 runs,Sydney Cricket Ground,Sydney
1324667,2022/23,2023/01/16,Melbourne Stars,Brisbane Heat,Brisbane Heat,3 wickets,Melbourne Cricket Ground,Melbourne
1324668,2022/23,2023/01/17,Sydney Sixers,Adelaide Strikers,Sydney Sixers,59 runs,"International Sports Stadium, Coffs Harbour",Coffs Harbour
1324669,2022/23,2023/01/18,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,7 wickets,Perth Stadium,Perth
