player,team,format,total_runs,balls_faced,matches,strike_rate
DJG Sammy,West Indies,ODI,1853,1926,102,96.21
N Pooran,West Indies,ODI,1829,1913,54,95.61
WA Young,New Zealand,ODI,1820,2182,57,83.41
Azhar Ali,Pakistan,ODI,1806,2478,52,72.88
NT Paranavitana,Sri Lanka,Test,1792,4285,31,41.82
MS Wade,Australia,ODI,1792,2226,82,80.5
RJ Burns,England,Test,1789,4089,32,43.75
A Vala,Papua New Guinea,ODI,1783,2594,56,68.74
VD Philander,South Africa,Test,1779,4007,60,44.4
HT Tector,Ireland,ODI,1775,2168,44,81.87
Saud Shakeel,Pakistan,Test,1773,3593,21,49.35
DM de Silva,Sri Lanka,ODI,1769,2330,76,75.92
Imrul Kayes,Bangladesh,Test,1751,3685,38,47.52
Waseem Muhammad,United Arab Emirates,ODI,1745,2047,69,85.25
Yousuf Youhana,Pakistan,ODI,1739,2205,52,78.87
C Green,Australia,Test,1736,3522,36,49.29
Haris Sohail,Pakistan,ODI,1709,2010,42,85.02
Aasif Sheikh,Nepal,ODI,1698,2281,63,74.44
NJ O'Brien,Ireland,ODI,1692,2394,63,70.68
SP Fleming,New Zealand,Test,1690,3057,24,55.28
Imam-ul-Haq,Pakistan,Test,1687,3610,26,46.73
WU Tharanga,Sri Lanka,Test,1682,3084,30,54.54
CR Ervine,Zimbabwe,Test,1672,3457,28,48.37
DP Conway,New Zealand,ODI,1672,1962,41,85.22
DJ Hussey,Australia,ODI,1672,1912,59,87.45
W Jaffer,India,Test,1662,3385,23,49.1
NM Lyon,Australia,Test,1651,3282,119,50.3
H Masakadza,Zimbabwe,Test,1649,3634,28,45.38
AT Rayudu,India,ODI,1637,2143,49,76.39
KD Karthik,India,ODI,1624,2275,76,71.38
Aaron Jones,United States of America,ODI,1620,2287,51,70.84
Salman Butt,Pakistan,Test,1619,3533,27,45.83
MS Wade,Australia,Test,1613,3207,36,50.3
Abdullah Shafique,Pakistan,Test,1610,3654,24,44.06
ND McKenzie,South Africa,Test,1610,3848,26,41.84
N Dickwella,Sri Lanka,ODI,1604,1758,52,91.24
KU Carty,West Indies,ODI,1593,2111,43,75.46
MD Gunathilaka,Sri Lanka,ODI,1592,1899,45,83.83
HMRKB Herath,Sri Lanka,Test,1589,3080,78,51.59
Nazmul Hossain Shanto,Bangladesh,ODI,1579,2026,51,77.94
OA Shah,England,ODI,1579,1963,52,80.44
MJ Santner,New Zealand,ODI,1573,1730,91,90.92
NJ Astle,New Zealand,ODI,1571,2078,43,75.6
Imran Farhat,Pakistan,Test,1568,3344,26,46.89
PJ Cummins,Australia,Test,1567,3327,68,47.1
Harbhajan Singh,India,Test,1554,2489,59,62.43
JDP Oram,New Zealand,ODI,1546,1762,70,87.74
J Charles,West Indies,ODI,1544,1840,58,83.91
UT Khawaja,Australia,ODI,1539,1865,38,82.52
PJ Hughes,Australia,Test,1535,2871,26,53.47
TD Paine,Australia,Test,1534,3362,34,45.63
Yuvraj Singh,India,Test,1534,2634,32,58.24
SO Dowrich,West Indies,Test,1528,3253,32,46.97
R Ravindra,New Zealand,Test,1526,2378,20,64.17
Mohammad Ashraful,Bangladesh,Test,1523,3127,36,48.7
JA Rudolph,South Africa,Test,1517,3410,31,44.49
CR Woakes,England,ODI,1514,1714,84,88.33
JDS Neesham,New Zealand,ODI,1508,1538,65,98.05
CK Kapugedera,Sri Lanka,ODI,1505,2157,76,69.77
GS Ballance,England,Test,1498,3187,23,47.0
MA Leask,Scotland,ODI,1498,1344,67,111.46
BA King,West Indies,ODI,1494,1825,57,81.86
MP Stoinis,Australia,ODI,1489,1622,63,91.8
MA Agarwal,India,Test,1488,2786,21,53.41
Agha Salman,Pakistan,Test,1487,2389,23,62.24
AC Voges,Australia,Test,1485,2672,19,55.58
Agha Salman,Pakistan,ODI,1479,1566,39,94.44
Yasir Hameed,Pakistan,ODI,1459,2225,39,65.57
JA Burns,Australia,Test,1442,2564,23,56.24
DR Martyn,Australia,Test,1442,2857,24,50.47
DL Vettori,New Zealand,ODI,1440,1732,94,83.14
C de Grandhomme,New Zealand,Test,1432,1788,29,80.09
SC Williams,Zimbabwe,Test,1428,2232,20,63.98
DS Airee,Nepal,ODI,1422,1865,63,76.25
DJ Malan,England,ODI,1418,1504,29,94.28
Nasir Jamshed,Pakistan,ODI,1418,1931,48,73.43
SO Hetmyer,West Indies,ODI,1414,1339,46,105.6
WIA Fernando,Sri Lanka,ODI,1405,1657,47,84.79
Aarif Sheikh,Nepal,ODI,1402,2135,56,65.67
Rohan Mustafa,United Arab Emirates,ODI,1401,2261,69,61.96
R Ravindra,New Zealand,ODI,1392,1320,34,105.45
A Symonds,Australia,Test,1386,2050,23,67.61
MP Vaughan,England,ODI,1382,2118,56,65.25
K Bhurtel,Nepal,ODI,1376,1752,63,78.54
EC Joyce,Ireland,ODI,1374,1940,43,70.82
GP Swann,England,Test,1370,1798,52,76.2
KAJ Roach,West Indies,Test,1360,3730,84,36.46
Shadman Islam,Bangladesh,Test,1359,2713,25,50.09
WP Saha,India,Test,1353,2980,36,45.4
Mehedi Hasan Miraz,Bangladesh,ODI,1346,1745,75,77.13
KA Maharaj,South Africa,Test,1334,2205,60,60.5
JR Hopes,Australia,ODI,1326,1436,61,92.34
BJ McMullen,Scotland,ODI,1324,1496,35,88.5
DJG Sammy,West Indies,Test,1323,1951,38,67.81
KMDN Kulasekara,Sri Lanka,ODI,1323,1660,117,79.7
Anamul Haque,Bangladesh,ODI,1322,1785,44,74.06
L Ronchi,New Zealand,ODI,1321,1204,65,109.72
KM Jadhav,India,ODI,1318,1307,49,100.84
PHKD Mendis,Sri Lanka,Test,1316,2067,14,63.67
M Kaif,India,ODI,1314,2062,64,63.72
Asad Shafiq,Pakistan,ODI,1312,1986,56,66.06
S Matsikenyeri,Zimbabwe,ODI,1309,1968,78,66.51
BM Duckett,England,ODI,1307,1339,33,97.61
P Nissanka,Sri Lanka,Test,1305,2302,18,56.69
Vikramjit Singh,Netherlands,ODI,1304,1872,45,69.66
MDK Perera,Sri Lanka,Test,1303,2782,42,46.84
M van Lingen,Namibia,ODI,1300,1442,37,90.15
JM Anderson,England,Test,1290,3306,165,39.02
Mashrafe Mortaza,Bangladesh,ODI,1290,1589,119,81.18
Shoaib Malik,Pakistan,Test,1288,2704,23,47.63
JL Smith,England,Test,1286,1725,20,74.55
LPC Silva,Sri Lanka,ODI,1279,1805,49,70.86
Asif Khan,United Arab Emirates,ODI,1270,1606,37,79.08
S Samarawickrama,Sri Lanka,ODI,1268,1439,44,88.12
K Verreynne,South Africa,Test,1266,2278,31,55.58
HC Brook,England,ODI,1263,1235,36,102.27
DR Smith,West Indies,ODI,1261,1430,74,88.18
Sabbir Rahman,Bangladesh,ODI,1259,1395,55,90.25
Inzamam-ul-Haq,Pakistan,Test,1258,2346,19,53.62
Towhid Hridoy,Bangladesh,ODI,1254,1555,35,80.64
PWA Mulder,South Africa,Test,1253,2168,24,57.8
C Munro,New Zealand,ODI,1249,1207,52,103.48
SR Mukkamalla,United States of America,ODI,1244,1553,35,80.1
JD Ryder,New Zealand,ODI,1242,1294,36,95.98
