match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
249214,ODI,2006/07,2006/12/03,India in South Africa ODI Series,5,South Africa,India,South Africa,9 wickets,SuperSport Park,Centurion
249228,ODI,2006/07,2007/01/14,Commonwealth Bank Series,2,Australia,New Zealand,Australia,105 runs,Bellerive Oval,Hobart
249229,ODI,2006/07,2007/01/21,Commonwealth Bank Series,5,Australia,New Zealand,Australia,2 wickets,Sydney Cricket Ground,
249230,ODI,2006/07,2007/01/28,Commonwealth Bank Series,8,Australia,New Zealand,Australia,8 runs,Western Australia Cricket Association Ground,Perth
249231,ODI,2006/07,2007/02/04,Commonwealth Bank Series,11,Australia,New Zealand,Australia,5 wickets,Melbourne Cricket Ground,
249232,ODI,2006/07,2007/01/12,Commonwealth Bank Series,1,Australia,England,Australia,8 wickets,Melbourne Cricket Ground,
249233,ODI,2006/07,2007/01/19,Commonwealth Bank Series,4,Australia,England,Australia,4 wickets,"Brisbane Cricket Ground, Woolloongabba",Brisbane
249234,ODI,2006/07,2007/01/26,Commonwealth Bank Series,7,Australia,England,Australia,9 wickets,Adelaide Oval,
249235,ODI,2006/07,2007/02/02,Commonwealth Bank Series,10,Australia,England,England,92 runs,Sydney Cricket Ground,
249236,ODI,2006/07,2007/01/16,Commonwealth Bank Series,3,England,New Zealand,England,3 wickets,Bellerive Oval,Hobart
249237,ODI,2006/07,2007/01/23,Commonwealth Bank Series,6,England,New Zealand,New Zealand,90 runs,Adelaide Oval,
249238,ODI,2006/07,2007/01/30,Commonwealth Bank Series,9,England,New Zealand,New Zealand,58 runs,Western Australia Cricket Association Ground,Perth
249239,ODI,2006/07,2007/02/06,Commonwealth Bank Series,12,England,New Zealand,England,14 runs,"Brisbane Cricket Ground, Woolloongabba",Brisbane
249240,ODI,2006/07,2007/02/09,Commonwealth Bank Series,1,Australia,England,England,4 wickets,Melbourne Cricket Ground,
249241,ODI,2006/07,2007/02/11,Commonwealth Bank Series,2,Australia,England,England,34 runs,Sydney Cricket Ground,
249378,ODI,2006,2006/08/12,Bangladesh in Kenya ODI Series,1,Kenya,Bangladesh,Bangladesh,6 wickets,Gymkhana Club Ground,Nairobi
249379,ODI,2006,2006/08/13,Bangladesh in Kenya ODI Series,2,Kenya,Bangladesh,Bangladesh,2 wickets,Gymkhana Club Ground,Nairobi
249380,ODI,2006,2006/08/15,Bangladesh in Kenya ODI Series,3,Kenya,Bangladesh,Bangladesh,6 wickets,Gymkhana Club Ground,Nairobi
249739,ODI,2006/07,2006/10/07,ICC Champions Trophy,1,Bangladesh,Sri Lanka,Sri Lanka,37 runs,"Punjab Cricket Association Stadium, Mohali",Chandigarh
249740,ODI,2006/07,2006/10/08,ICC Champions Trophy,2,West Indies,Zimbabwe,West Indies,9 wickets,"Sardar Patel Stadium, Motera",Ahmedabad
249741,ODI,2006/07,2006/10/10,ICC Champions Trophy,3,Sri Lanka,Zimbabwe,Sri Lanka,144 runs,"Sardar Patel Stadium, Motera",Ahmedabad
249742,ODI,2006/07,2006/10/11,ICC Champions Trophy,4,Bangladesh,West Indies,West Indies,10 wickets,Sawai Mansingh Stadium,Jaipur
249743,ODI,2006/07,2006/10/13,ICC Champions Trophy,5,Bangladesh,Zimbabwe,Bangladesh,101 runs,Sawai Mansingh Stadium,Jaipur
249744,ODI,2006/07,2006/10/14,ICC Champions Trophy,6,Sri Lanka,West Indies,Sri Lanka,9 wickets,Brabourne Stadium,Mumbai
249745,ODI,2006/07,2006/10/15,ICC Champions Trophy,7,India,England,India,4 wickets,Sawai Mansingh Stadium,Jaipur
249746,ODI,2006/07,2006/10/16,ICC Champions Trophy,8,New Zealand,South Africa,New Zealand,87 runs,Brabourne Stadium,Mumbai
249747,ODI,2006/07,2006/10/17,ICC Champions Trophy,9,Pakistan,Sri Lanka,Pakistan,4 wickets,Sawai Mansingh Stadium,Jaipur
249748,ODI,2006/07,2006/10/18,ICC Champions Trophy,10,Australia,West Indies,West Indies,10 runs,Brabourne Stadium,Mumbai
249749,ODI,2006/07,2006/10/20,ICC Champions Trophy,11,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Brabourne Stadium,Mumbai
249750,ODI,2006/07,2006/10/21,ICC Champions Trophy,12,Australia,England,Australia,6 wickets,Sawai Mansingh Stadium,Jaipur
249751,ODI,2006/07,2006/10/24,ICC Champions Trophy,13,South Africa,Sri Lanka,South Africa,78 runs,"Sardar Patel Stadium, Motera",Ahmedabad
249752,ODI,2006/07,2006/10/25,ICC Champions Trophy,14,New Zealand,Pakistan,New Zealand,51 runs,"Punjab Cricket Association Stadium, Mohali",Chandigarh
249753,ODI,2006/07,2006/10/26,ICC Champions Trophy,15,India,West Indies,West Indies,3 wickets,"Sardar Patel Stadium, Motera",Ahmedabad
249754,ODI,2006/07,2006/10/27,ICC Champions Trophy,16,Pakistan,South Africa,South Africa,124 runs,"Punjab Cricket Association Stadium, Mohali",Chandigarh
249755,ODI,2006/07,2006/10/28,ICC Champions Trophy,17,England,West Indies,England,3 wickets,"Sardar Patel Stadium, Motera",Ahmedabad
249756,ODI,2006/07,2006/10/29,ICC Champions Trophy,18,India,Australia,Australia,6 wickets,"Punjab Cricket Association Stadium, Mohali",Chandigarh
249757,ODI,2006/07,2006/11/01,ICC Champions Trophy,,Australia,New Zealand,Australia,34 runs,"Punjab Cricket Association Stadium, Mohali",Chandigarh
249758,ODI,2006/07,2006/11/02,ICC Champions Trophy,,South Africa,West Indies,West Indies,6 wickets,Sawai Mansingh Stadium,Jaipur
249759,ODI,2006/07,2006/11/05,ICC Champions Trophy,,Australia,West Indies,Australia,8 wickets,Brabourne Stadium,Mumbai
250668,ODI,2006/07,2007/02/04,Pakistan in South Africa ODI Series,1,South Africa,Pakistan,South Africa,164 runs,SuperSport Park,Centurion
