match_id,format,season,date,event,match_number,team1,team2,winner,margin,venue,city
1384424,ODI,2023/24,2023/11/02,ICC Cricket World Cup,33,India,Sri Lanka,India,302 runs,"Wankhede Stadium, Mumbai",Mumbai
1384426,ODI,2023/24,2023/11/04,ICC Cricket World Cup,35,New Zealand,Pakistan,Pakistan,21 runs,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1384427,ODI,2023/24,2023/11/04,ICC Cricket World Cup,36,Australia,England,Australia,33 runs,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
1384428,ODI,2023/24,2023/11/05,ICC Cricket World Cup,37,India,South Africa,India,243 runs,"Eden Gardens, Kolkata",Kolkata
1384429,ODI,2023/24,2023/11/06,ICC Cricket World Cup,38,Sri Lanka,Bangladesh,Bangladesh,3 wickets,"Arun Jaitley Stadium, Delhi",Delhi
1384431,ODI,2023/24,2023/11/08,ICC Cricket World Cup,40,England,Netherlands,England,160 runs,"Maharashtra Cricket Association Stadium, Pune",Pune
1384432,ODI,2023/24,2023/11/09,ICC Cricket World Cup,41,Sri Lanka,New Zealand,New Zealand,5 wickets,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1384434,ODI,2023/24,2023/11/11,ICC Cricket World Cup,43,Bangladesh,Australia,Australia,8 wickets,"Maharashtra Cricket Association Stadium, Pune",Pune
1384435,ODI,2023/24,2023/11/11,ICC Cricket World Cup,44,England,Pakistan,England,93 runs,"Eden Gardens, Kolkata",Kolkata
1384436,ODI,2023/24,2023/11/12,ICC Cricket World Cup,45,India,Netherlands,India,160 runs,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
1384437,ODI,2023/24,2023/11/15,ICC Cricket World Cup,,India,New Zealand,India,70 runs,"Wankhede Stadium, Mumbai",Mumbai
1384438,ODI,2023/24,2023/11/16,ICC Cricket World Cup,,South Africa,Australia,Australia,3 wickets,"Eden Gardens, Kolkata",Kolkata
1384439,ODI,2023/24,2023/11/19,ICC Cricket World Cup,,India,Australia,Australia,6 wickets,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
1420529,ODI,2023/24,2024/02/15,ICC Men's Cricket World Cup League 2,1,Nepal,Namibia,Namibia,4 wickets,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1420530,ODI,2023/24,2024/02/17,ICC Men's Cricket World Cup League 2,2,Netherlands,Nepal,Nepal,9 wickets,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1420531,ODI,2023/24,2024/02/19,ICC Men's Cricket World Cup League 2,3,Namibia,Netherlands,Netherlands,7 wickets,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1420532,ODI,2023/24,2024/02/21,ICC Men's Cricket World Cup League 2,4,Nepal,Namibia,Namibia,2 wickets,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1420533,ODI,2023/24,2024/02/23,ICC Men's Cricket World Cup League 2,5,Namibia,Netherlands,Namibia,24 runs,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1420534,ODI,2023/24,2024/02/25,ICC Men's Cricket World Cup League 2,6,Nepal,Netherlands,Netherlands,8 wickets,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur
1421069,ODI,2023/24,2024/02/28,ICC Men's Cricket World Cup League 2,7,United Arab Emirates,Canada,Canada,3 wickets,Dubai International Cricket Stadium,Dubai
1421070,ODI,2023/24,2024/03/01,ICC Men's Cricket World Cup League 2,8,Scotland,Canada,Canada,7 wickets,Dubai International Cricket Stadium,Dubai
1421071,ODI,2023/24,2024/03/03,ICC Men's Cricket World Cup League 2,9,United Arab Emirates,Scotland,Scotland,8 wickets,Dubai International Cricket Stadium,Dubai
1421072,ODI,2023/24,2024/03/05,ICC Men's Cricket World Cup League 2,10,Canada,United Arab Emirates,Canada,8 runs,Dubai International Cricket Stadium,Dubai
1421073,ODI,2023/24,2024/03/07,ICC Men's Cricket World Cup League 2,11,Scotland,Canada,Canada,5 wickets,Dubai International Cricket Stadium,Dubai
1421074,ODI,2025,2025/05/04,ICC Men's Cricket World Cup League 2,12,United Arab Emirates,Scotland,Scotland,3 wickets,"VRA Ground, Amstelveen",Amstelveen
1428956,ODI,2024,2024/07/16,ICC Men's Cricket World Cup League 2,13,Oman,Scotland,no result,,"Forthill, Dundee",Dundee
1428957,ODI,2024,2024/07/18,ICC Men's Cricket World Cup League 2,14,Oman,Namibia,Namibia,6 wickets,"Forthill, Dundee",Dundee
1428958,ODI,2024,2024/07/20,ICC Men's Cricket World Cup League 2,15,Scotland,Namibia,Scotland,47 runs,"Forthill, Dundee",Dundee
1428959,ODI,2024,2024/07/22,ICC Men's Cricket World Cup League 2,16,Oman,Scotland,Scotland,8 wickets,"Forthill, Dundee",Dundee
1428960,ODI,2024,2024/07/24,ICC Men's Cricket World Cup League 2,17,Namibia,Oman,Oman,4 wickets,"Forthill, Dundee",Dundee
1428961,ODI,2024,2024/07/26,ICC Men's Cricket World Cup League 2,18,Scotland,Namibia,Scotland,138 runs,"Forthill, Dundee",Dundee
1445034,ODI,2024,2024/08/11,ICC Men's Cricket World Cup League 2,19,Canada,Netherlands,Netherlands,5 wickets,"Sportpark Westvliet, The Hague",The Hague
1445035,ODI,2024,2024/08/13,ICC Men's Cricket World Cup League 2,20,United States of America,Canada,United States of America,14 runs,"Sportpark Westvliet, The Hague",The Hague
1445036,ODI,2024,2024/08/15,ICC Men's Cricket World Cup League 2,21,Netherlands,United States of America,Netherlands,19 runs,"Sportpark Westvliet, The Hague",The Hague
1445037,ODI,2024,2024/08/17,ICC Men's Cricket World Cup League 2,22,Netherlands,Canada,Netherlands,63 runs,"Hazelaarweg, Rotterdam",Rotterdam
1445038,ODI,2024,2024/08/19,ICC Men's Cricket World Cup League 2,23,United States of America,Canada,United States of America,50 runs,"Hazelaarweg, Rotterdam",Rotterdam
1445039,ODI,2024,2024/08/21,ICC Men's Cricket World Cup League 2,24,Netherlands,United States of America,Netherlands,27 runs,"Hazelaarweg, Rotterdam",Rotterdam
1450690,ODI,2024,2024/09/16,ICC Men's Cricket World Cup League 2,25,Namibia,United States of America,United States of America,6 wickets,"United Cricket Club Ground, Windhoek",Windhoek
1450691,ODI,2024,2024/09/18,ICC Men's Cricket World Cup League 2,27,United Arab Emirates,United States of America,United States of America,10 wickets,"United Cricket Club Ground, Windhoek",Windhoek
1450692,ODI,2024,2024/09/20,ICC Men's Cricket World Cup League 2,29,Namibia,United Arab Emirates,United Arab Emirates,1 wickets,"United Cricket Club Ground, Windhoek",Windhoek
1450693,ODI,2024,2024/09/22,ICC Men's Cricket World Cup League 2,31,Namibia,United States of America,United States of America,7 wickets,"United Cricket Club Ground, Windhoek",Windhoek
1450694,ODI,2024,2024/09/24,ICC Men's Cricket World Cup League 2,33,United States of America,United Arab Emirates,United States of America,136 runs,"United Cricket Club Ground, Windhoek",Windhoek
1450695,ODI,2024,2024/09/26,ICC Men's Cricket World Cup League 2,35,United Arab Emirates,Namibia,Namibia,8 wickets,"Wanderers Cricket Ground, Windhoek",Windhoek
1450696,ODI,2024,2024/09/16,ICC Men's Cricket World Cup League 2,26,Canada,Nepal,Canada,103 runs,"Maple Leaf North-West Ground, King City",King City
1450697,ODI,2024,2024/09/18,ICC Men's Cricket World Cup League 2,28,Nepal,Oman,Oman,1 wickets,"Maple Leaf North-West Ground, King City",King City
1450698,ODI,2024,2024/09/20,ICC Men's Cricket World Cup League 2,30,Canada,Oman,Canada,59 runs,"Maple Leaf North-West Ground, King City",King City
1450699,ODI,2024,2024/09/22,ICC Men's Cricket World Cup League 2,32,Nepal,Canada,Canada,5 wickets,"Maple Leaf North-West Ground, King City",King City
1450701,ODI,2024,2024/09/26,ICC Men's Cricket World Cup League 2,36,Oman,Canada,Canada,5 wickets,"Maple Leaf North-West Ground, King City",King City
1450702,ODI,2024/25,2024/10/25,ICC Men's Cricket World Cup League 2,37,United States of America,Scotland,Scotland,10 wickets,"Grand Prairie Stadium, Dallas",Dallas
1450704,ODI,2024/25,2024/10/29,ICC Men's Cricket World Cup League 2,39,Scotland,Nepal,Nepal,5 wickets,"Grand Prairie Stadium, Dallas",Dallas
1450705,ODI,2024/25,2024/10/31,ICC Men's Cricket World Cup League 2,40,Scotland,United States of America,Scotland,71 runs,"Grand Prairie Stadium, Dallas",Dallas
1450706,ODI,2024/25,2024/11/02,ICC Men's Cricket World Cup League 2,42,United States of America,Nepal,United States of America,37 runs,"Grand Prairie Stadium, Dallas",Dallas
1450707,ODI,2024/25,2024/11/04,ICC Men's Cricket World Cup League 2,44,Nepal,Scotland,no result,,"Grand Prairie Stadium, Dallas",Dallas
1457464,ODI,2024/25,2024/11/01,ICC Men's Cricket World Cup League 2,41,United Arab Emirates,Oman,Oman,6 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1457465,ODI,2024/25,2024/11/03,ICC Men's Cricket World Cup League 2,43,United Arab Emirates,Netherlands,United Arab Emirates,26 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1457466,ODI,2024/25,2024/11/05,ICC Men's Cricket World Cup League 2,45,Netherlands,Oman,Oman,8 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1457467,ODI,2024/25,2024/11/07,ICC Men's Cricket World Cup League 2,46,United Arab Emirates,Oman,Oman,4 wickets,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1457468,ODI,2024/25,2024/11/09,ICC Men's Cricket World Cup League 2,47,Netherlands,United Arab Emirates,Netherlands,67 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1457469,ODI,2024/25,2024/11/11,ICC Men's Cricket World Cup League 2,48,Oman,Netherlands,Oman,1 runs,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1466414,ODI,2024/25,2025/02/19,ICC Champions Trophy,1,New Zealand,Pakistan,New Zealand,60 runs,"National Stadium, Karachi",Karachi
1466415,ODI,2024/25,2025/02/20,ICC Champions Trophy,2,Bangladesh,India,India,6 wickets,Dubai International Cricket Stadium,Dubai
1466417,ODI,2024/25,2025/02/22,ICC Champions Trophy,4,England,Australia,Australia,5 wickets,"Gaddafi Stadium, Lahore",Lahore
1466418,ODI,2024/25,2025/02/23,ICC Champions Trophy,5,Pakistan,India,India,6 wickets,Dubai International Cricket Stadium,Dubai
1466419,ODI,2024/25,2025/02/24,ICC Champions Trophy,6,Bangladesh,New Zealand,New Zealand,5 wickets,Rawalpindi Cricket Stadium,Rawalpindi
1466424,ODI,2024/25,2025/03/01,ICC Champions Trophy,11,England,South Africa,South Africa,7 wickets,"National Stadium, Karachi",Karachi
